 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
1,480,255,255,255,0.914,1.106,0.904,0.951
2,324,255,255,255,0.876,1.231,0.813,0.928
3,406,255,255,255,0.887,1.102,0.907,0.937
4,331,255,255,255,0.933,1.167,0.857,0.948
5,323,255,255,255,0.897,1.165,0.858,0.923
6,287,255,255,255,0.915,1.138,0.879,0.936
7,353,255,255,255,0.901,1.142,0.875,0.945
8,320,255,255,255,0.902,1.098,0.911,0.928
9,366,255,255,255,0.927,1.134,0.882,0.951
10,368,255,255,255,0.721,1.085,0.922,0.901
11,338,255,255,255,0.907,1.137,0.880,0.939
12,359,255,255,255,0.791,1.018,0.983,0.897
13,411,255,255,255,0.847,1.193,0.838,0.930
14,442,255,255,255,0.903,1.197,0.835,0.941
15,373,255,255,255,0.879,1.173,0.853,0.938
16,357,255,255,255,0.942,1.043,0.959,0.944
17,366,255,255,255,0.897,1.120,0.893,0.941
18,334,255,255,255,0.896,1.448,0.691,0.942
19,388,255,255,255,0.900,1.030,0.971,0.936
20,407,255,255,255,0.903,1.133,0.882,0.938
21,421,255,255,255,0.714,1.147,0.872,0.782
22,387,255,255,255,0.927,1.276,0.784,0.950
23,461,255,255,255,0.922,1.306,0.766,0.955
24,349,255,255,255,0.914,1.126,0.888,0.938
25,385,255,255,255,0.902,1.144,0.874,0.936
26,376,255,255,255,0.915,1.268,0.789,0.941
27,334,255,255,255,0.919,1.157,0.864,0.938
28,380,255,255,255,0.916,1.107,0.903,0.942
29,280,255,255,255,0.917,1.127,0.887,0.938
30,297,255,255,255,0.940,1.179,0.848,0.938
31,361,255,255,255,0.865,1.206,0.829,0.923
32,390,255,255,255,0.885,1.197,0.835,0.932
33,383,255,255,255,0.883,1.087,0.920,0.936
34,403,255,255,255,0.838,1.115,0.897,0.925
35,381,255,255,255,0.892,1.160,0.862,0.938
36,485,255,255,255,0.869,1.144,0.874,0.934
37,387,255,255,255,0.892,1.113,0.898,0.934
38,321,255,255,255,0.921,1.268,0.788,0.943
39,392,255,255,255,0.846,1.199,0.834,0.921
40,496,255,255,255,0.786,1.148,0.871,0.924
41,400,255,255,255,0.819,1.235,0.810,0.914
42,313,255,255,255,0.898,1.124,0.890,0.939
43,344,255,255,255,0.826,1.139,0.878,0.915
44,405,255,255,255,0.904,1.164,0.859,0.941
45,456,255,255,255,0.893,1.237,0.808,0.933
46,374,255,255,255,0.917,1.249,0.801,0.946
47,489,255,255,255,0.917,1.104,0.906,0.950
48,354,255,255,255,0.912,1.032,0.969,0.933
49,340,255,255,255,0.897,1.088,0.919,0.939
50,434,255,255,255,0.906,1.176,0.851,0.942
51,262,255,255,255,0.882,1.556,0.643,0.954
52,357,255,255,255,0.926,1.062,0.942,0.944
53,412,255,255,255,0.881,1.357,0.737,0.936
54,323,255,255,255,0.895,1.111,0.900,0.939
